t=,1, id=,B00, PRDE,actvstrat=,0.285962, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,0.183013, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.236593, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,-0.790457, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.728694, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,0.327671, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.302443, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.761813, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.923347, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,-0.776807, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.639264, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.094970, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,-0.195911, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.470233, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.903460, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.649509, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.313878, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.891753, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.626298, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.376809, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.285962, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.639264, 
t=,3600, id=,B00, PRDE,actvstrat=,0.285962, actvprof=,2.522743, id=,B01, PRDE,actvstrat=,0.183013, actvprof=,2.341356, id=,B02, PRDE,actvstrat=,-0.236593, actvprof=,1.956917, id=,B03, PRDE,actvstrat=,-0.790457, actvprof=,2.949681, id=,B04, PRDE,actvstrat=,-0.728694, actvprof=,2.680796, id=,B05, PRDE,actvstrat=,0.327671, actvprof=,2.572186, id=,B06, PRDE,actvstrat=,-0.302443, actvprof=,1.978306, id=,B07, PRDE,actvstrat=,-0.761813, actvprof=,2.551909, id=,B08, PRDE,actvstrat=,-0.923347, actvprof=,3.494396, id=,B09, PRDE,actvstrat=,-0.776807, actvprof=,2.712185, id=,S00, PRDE,actvstrat=,-0.639264, actvprof=,2.092471, id=,S01, PRDE,actvstrat=,0.094970, actvprof=,4.929932, id=,S02, PRDE,actvstrat=,-0.195911, actvprof=,2.826627, id=,S03, PRDE,actvstrat=,-0.470233, actvprof=,2.611075, id=,S04, PRDE,actvstrat=,0.903460, actvprof=,9.164873, id=,S05, PRDE,actvstrat=,0.649509, actvprof=,7.731559, id=,S06, PRDE,actvstrat=,-0.313878, actvprof=,2.742462, id=,S07, PRDE,actvstrat=,-0.891753, actvprof=,0.557492, id=,S08, PRDE,actvstrat=,0.626298, actvprof=,7.864335, id=,S09, PRDE,actvstrat=,0.376809, actvprof=,6.117693, best_B_id=,B08, best_B_prof=,3.494396, best_B_strat=,-0.923347, best_S_id=,S04, best_S_prof=,9.164873, best_S_strat=,0.903460, 
t=,7200, id=,B00, PRDE,actvstrat=,0.520039, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.568802, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,0.151542, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.069425, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,-0.577868, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.662748, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.360093, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.866966, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,0.053882, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.493743, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,0.088004, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,-0.353083, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.890624, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.325834, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,-0.036425, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,-0.939183, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.388390, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,0.866027, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,0.625864, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,-0.797347, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,0.520039, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,0.088004, 
t=,10800, id=,B00, PRDE,actvstrat=,0.520039, actvprof=,2.504132, id=,B01, PRDE,actvstrat=,-0.568802, actvprof=,1.989139, id=,B02, PRDE,actvstrat=,0.151542, actvprof=,2.204692, id=,B03, PRDE,actvstrat=,0.069425, actvprof=,1.824419, id=,B04, PRDE,actvstrat=,-0.577868, actvprof=,1.977195, id=,B05, PRDE,actvstrat=,-0.662748, actvprof=,2.093582, id=,B06, PRDE,actvstrat=,-0.360093, actvprof=,1.781642, id=,B07, PRDE,actvstrat=,-0.866966, actvprof=,2.900793, id=,B08, PRDE,actvstrat=,0.053882, actvprof=,1.797753, id=,B09, PRDE,actvstrat=,0.493743, actvprof=,2.223858, id=,S00, PRDE,actvstrat=,0.088004, actvprof=,5.563812, id=,S01, PRDE,actvstrat=,-0.353083, actvprof=,3.167456, id=,S02, PRDE,actvstrat=,0.890624, actvprof=,9.933473, id=,S03, PRDE,actvstrat=,-0.325834, actvprof=,3.088290, id=,S04, PRDE,actvstrat=,-0.036425, actvprof=,4.837155, id=,S05, PRDE,actvstrat=,-0.939183, actvprof=,0.802767, id=,S06, PRDE,actvstrat=,-0.388390, actvprof=,2.991347, id=,S07, PRDE,actvstrat=,0.866027, actvprof=,9.906251, id=,S08, PRDE,actvstrat=,0.625864, actvprof=,8.852099, id=,S09, PRDE,actvstrat=,-0.797347, actvprof=,1.536923, best_B_id=,B07, best_B_prof=,2.900793, best_B_strat=,-0.866966, best_S_id=,S02, best_S_prof=,9.933473, best_S_strat=,0.890624, 
t=,14400, id=,B00, PRDE,actvstrat=,-0.870819, actvprof=,0.000000, id=,B01, PRDE,actvstrat=,-0.825948, actvprof=,0.000000, id=,B02, PRDE,actvstrat=,-0.314816, actvprof=,0.000000, id=,B03, PRDE,actvstrat=,0.558718, actvprof=,0.000000, id=,B04, PRDE,actvstrat=,0.694338, actvprof=,0.000000, id=,B05, PRDE,actvstrat=,-0.363969, actvprof=,0.000000, id=,B06, PRDE,actvstrat=,-0.613242, actvprof=,0.000000, id=,B07, PRDE,actvstrat=,-0.466097, actvprof=,0.000000, id=,B08, PRDE,actvstrat=,-0.907508, actvprof=,0.000000, id=,B09, PRDE,actvstrat=,0.616170, actvprof=,0.000000, id=,S00, PRDE,actvstrat=,-0.439086, actvprof=,0.000000, id=,S01, PRDE,actvstrat=,0.520826, actvprof=,0.000000, id=,S02, PRDE,actvstrat=,0.093776, actvprof=,0.000000, id=,S03, PRDE,actvstrat=,-0.312204, actvprof=,0.000000, id=,S04, PRDE,actvstrat=,0.277429, actvprof=,0.000000, id=,S05, PRDE,actvstrat=,0.275538, actvprof=,0.000000, id=,S06, PRDE,actvstrat=,-0.810642, actvprof=,0.000000, id=,S07, PRDE,actvstrat=,-0.494361, actvprof=,0.000000, id=,S08, PRDE,actvstrat=,-0.014613, actvprof=,0.000000, id=,S09, PRDE,actvstrat=,0.616902, actvprof=,0.000000, best_B_id=,B00, best_B_prof=,0.000000, best_B_strat=,-0.870819, best_S_id=,S00, best_S_prof=,0.000000, best_S_strat=,-0.439086, 
t=,18000, id=,B00, PRDE,actvstrat=,-0.870819, actvprof=,2.433611, id=,B01, PRDE,actvstrat=,-0.825948, actvprof=,2.058889, id=,B02, PRDE,actvstrat=,-0.314816, actvprof=,1.453333, id=,B03, PRDE,actvstrat=,0.558718, actvprof=,2.285833, id=,B04, PRDE,actvstrat=,0.694338, actvprof=,2.363333, id=,B05, PRDE,actvstrat=,-0.363969, actvprof=,1.371389, id=,B06, PRDE,actvstrat=,-0.613242, actvprof=,1.617222, id=,B07, PRDE,actvstrat=,-0.466097, actvprof=,1.374444, id=,B08, PRDE,actvstrat=,-0.907508, actvprof=,2.723056, id=,B09, PRDE,actvstrat=,0.616170, actvprof=,2.285000, id=,S00, PRDE,actvstrat=,-0.439086, actvprof=,2.690000, id=,S01, PRDE,actvstrat=,0.520826, actvprof=,7.623056, id=,S02, PRDE,actvstrat=,0.093776, actvprof=,5.828611, id=,S03, PRDE,actvstrat=,-0.312204, actvprof=,2.956111, id=,S04, PRDE,actvstrat=,0.277429, actvprof=,6.428333, id=,S05, PRDE,actvstrat=,0.275538, actvprof=,6.705556, id=,S06, PRDE,actvstrat=,-0.810642, actvprof=,0.936944, id=,S07, PRDE,actvstrat=,-0.494361, actvprof=,2.892500, id=,S08, PRDE,actvstrat=,-0.014613, actvprof=,5.394722, id=,S09, PRDE,actvstrat=,0.616902, actvprof=,8.444722, best_B_id=,B08, best_B_prof=,2.723056, best_B_strat=,-0.907508, best_S_id=,S09, best_S_prof=,8.444722, best_S_strat=,0.616902, 
t=,21600, id=,B00, PRDE,actvstrat=,-0.870819, actvprof=,2.456389, id=,B01, PRDE,actvstrat=,-0.825948, actvprof=,2.139861, id=,B02, PRDE,actvstrat=,-0.314816, actvprof=,1.567361, id=,B03, PRDE,actvstrat=,0.558718, actvprof=,2.270000, id=,B04, PRDE,actvstrat=,0.694338, actvprof=,2.399861, id=,B05, PRDE,actvstrat=,-0.363969, actvprof=,1.483611, id=,B06, PRDE,actvstrat=,-0.613242, actvprof=,1.579028, id=,B07, PRDE,actvstrat=,-0.466097, actvprof=,1.422083, id=,B08, PRDE,actvstrat=,-0.907508, actvprof=,2.837500, id=,B09, PRDE,actvstrat=,0.616170, actvprof=,2.365556, id=,S00, PRDE,actvstrat=,-0.439086, actvprof=,2.868889, id=,S01, PRDE,actvstrat=,0.520826, actvprof=,7.732222, id=,S02, PRDE,actvstrat=,0.093776, actvprof=,5.827778, id=,S03, PRDE,actvstrat=,-0.312204, actvprof=,3.091389, id=,S04, PRDE,actvstrat=,0.277429, actvprof=,6.447917, id=,S05, PRDE,actvstrat=,0.275538, actvprof=,6.750417, id=,S06, PRDE,actvstrat=,-0.810642, actvprof=,1.041667, id=,S07, PRDE,actvstrat=,-0.494361, actvprof=,2.815417, id=,S08, PRDE,actvstrat=,-0.014613, actvprof=,5.146111, id=,S09, PRDE,actvstrat=,0.616902, actvprof=,8.356944, best_B_id=,B08, best_B_prof=,2.837500, best_B_strat=,-0.907508, best_S_id=,S09, best_S_prof=,8.356944, best_S_strat=,0.616902, 
t=,25200, id=,B00, PRDE,actvstrat=,0.103199, actvprof=,3.658157, id=,B01, PRDE,actvstrat=,0.082665, actvprof=,3.710381, id=,B02, PRDE,actvstrat=,0.151788, actvprof=,3.704270, id=,B03, PRDE,actvstrat=,0.653494, actvprof=,3.769827, id=,B04, PRDE,actvstrat=,-0.786898, actvprof=,4.744298, id=,B05, PRDE,actvstrat=,-0.430403, actvprof=,3.772883, id=,B06, PRDE,actvstrat=,-0.366587, actvprof=,3.816773, id=,B07, PRDE,actvstrat=,-0.532855, actvprof=,4.085113, id=,B08, PRDE,actvstrat=,-0.528629, actvprof=,3.998444, id=,B09, PRDE,actvstrat=,0.298170, actvprof=,4.116225, id=,S00, PRDE,actvstrat=,0.963927, actvprof=,7.840218, id=,S01, PRDE,actvstrat=,0.606706, actvprof=,6.543237, id=,S02, PRDE,actvstrat=,0.676823, actvprof=,7.237979, id=,S03, PRDE,actvstrat=,0.895548, actvprof=,8.063835, id=,S04, PRDE,actvstrat=,0.781311, actvprof=,7.843829, id=,S05, PRDE,actvstrat=,-0.480263, actvprof=,2.189783, id=,S06, PRDE,actvstrat=,0.217130, actvprof=,5.297647, id=,S07, PRDE,actvstrat=,-0.253767, actvprof=,3.020362, id=,S08, PRDE,actvstrat=,0.708682, actvprof=,7.331315, id=,S09, PRDE,actvstrat=,-0.798873, actvprof=,1.146976, best_B_id=,B04, best_B_prof=,4.744298, best_B_strat=,-0.786898, best_S_id=,S03, best_S_prof=,8.063835, best_S_strat=,0.895548, 
t=,28800, id=,B00, PRDE,actvstrat=,0.103199, actvprof=,3.787083, id=,B01, PRDE,actvstrat=,0.082665, actvprof=,3.691111, id=,B02, PRDE,actvstrat=,0.151788, actvprof=,3.772222, id=,B03, PRDE,actvstrat=,0.653494, actvprof=,3.820972, id=,B04, PRDE,actvstrat=,-0.786898, actvprof=,4.739722, id=,B05, PRDE,actvstrat=,-0.430403, actvprof=,3.797778, id=,B06, PRDE,actvstrat=,-0.366587, actvprof=,3.734306, id=,B07, PRDE,actvstrat=,-0.532855, actvprof=,3.957639, id=,B08, PRDE,actvstrat=,-0.528629, actvprof=,4.155556, id=,B09, PRDE,actvstrat=,0.298170, actvprof=,4.041111, id=,S00, PRDE,actvstrat=,0.963927, actvprof=,7.872639, id=,S01, PRDE,actvstrat=,0.606706, actvprof=,6.866389, id=,S02, PRDE,actvstrat=,0.676823, actvprof=,7.242500, id=,S03, PRDE,actvstrat=,0.895548, actvprof=,8.064028, id=,S04, PRDE,actvstrat=,0.781311, actvprof=,7.910417, id=,S05, PRDE,actvstrat=,-0.480263, actvprof=,2.216389, id=,S06, PRDE,actvstrat=,0.217130, actvprof=,5.081111, id=,S07, PRDE,actvstrat=,-0.253767, actvprof=,2.892778, id=,S08, PRDE,actvstrat=,0.708682, actvprof=,7.447361, id=,S09, PRDE,actvstrat=,-0.798873, actvprof=,1.120000, best_B_id=,B04, best_B_prof=,4.739722, best_B_strat=,-0.786898, best_S_id=,S03, best_S_prof=,8.064028, best_S_strat=,0.895548, 
t=,32400, id=,B00, PRDE,actvstrat=,0.422653, actvprof=,2.162125, id=,B01, PRDE,actvstrat=,0.691265, actvprof=,2.395755, id=,B02, PRDE,actvstrat=,0.151542, actvprof=,2.026836, id=,B03, PRDE,actvstrat=,0.653494, actvprof=,2.541601, id=,B04, PRDE,actvstrat=,-0.246996, actvprof=,1.674028, id=,B05, PRDE,actvstrat=,-0.239016, actvprof=,1.852932, id=,B06, PRDE,actvstrat=,0.054062, actvprof=,1.659305, id=,B07, PRDE,actvstrat=,0.343014, actvprof=,2.163236, id=,B08, PRDE,actvstrat=,-0.601509, actvprof=,2.263800, id=,B09, PRDE,actvstrat=,0.948930, actvprof=,1.239548, id=,S00, PRDE,actvstrat=,-0.133620, actvprof=,4.515654, id=,S01, PRDE,actvstrat=,-0.353083, actvprof=,3.758647, id=,S02, PRDE,actvstrat=,0.945150, actvprof=,10.859516, id=,S03, PRDE,actvstrat=,0.895548, actvprof=,11.083146, id=,S04, PRDE,actvstrat=,0.673749, actvprof=,9.618857, id=,S05, PRDE,actvstrat=,0.910577, actvprof=,10.705059, id=,S06, PRDE,actvstrat=,-0.837526, actvprof=,1.073145, id=,S07, PRDE,actvstrat=,-0.194662, actvprof=,4.141456, id=,S08, PRDE,actvstrat=,-0.874800, actvprof=,0.669222, id=,S09, PRDE,actvstrat=,-0.174108, actvprof=,4.447315, best_B_id=,B03, best_B_prof=,2.541601, best_B_strat=,0.653494, best_S_id=,S03, best_S_prof=,11.083146, best_S_strat=,0.895548, 
t=,36000, id=,B00, PRDE,actvstrat=,0.422653, actvprof=,2.169952, id=,B01, PRDE,actvstrat=,0.691265, actvprof=,2.404267, id=,B02, PRDE,actvstrat=,0.151542, actvprof=,1.964943, id=,B03, PRDE,actvstrat=,0.653494, actvprof=,2.384405, id=,B04, PRDE,actvstrat=,-0.246996, actvprof=,1.570204, id=,B05, PRDE,actvstrat=,-0.239016, actvprof=,1.784658, id=,B06, PRDE,actvstrat=,0.054062, actvprof=,1.808825, id=,B07, PRDE,actvstrat=,0.343014, actvprof=,2.171202, id=,B08, PRDE,actvstrat=,-0.601509, actvprof=,2.209953, id=,B09, PRDE,actvstrat=,0.948930, actvprof=,1.270331, id=,S00, PRDE,actvstrat=,-0.133620, actvprof=,4.644916, id=,S01, PRDE,actvstrat=,-0.353083, actvprof=,3.798630, id=,S02, PRDE,actvstrat=,0.945150, actvprof=,10.824062, id=,S03, PRDE,actvstrat=,0.895548, actvprof=,10.964762, id=,S04, PRDE,actvstrat=,0.673749, actvprof=,9.630957, id=,S05, PRDE,actvstrat=,0.910577, actvprof=,10.971290, id=,S06, PRDE,actvstrat=,-0.837526, actvprof=,0.955873, id=,S07, PRDE,actvstrat=,-0.194662, actvprof=,4.039752, id=,S08, PRDE,actvstrat=,-0.874800, actvprof=,0.576135, id=,S09, PRDE,actvstrat=,-0.174108, actvprof=,4.324902, best_B_id=,B01, best_B_prof=,2.404267, best_B_strat=,0.691265, best_S_id=,S05, best_S_prof=,10.971290, best_S_strat=,0.910577, 
